gender,race/ethnicity,,,test preparation course,math score,reading score,writing score,,target
female,group D,,,completed,59,70,78,,0
male,group D,,,none,96,93,87,,1
female,group D,,,none,57,76,77,,0
male,group B,,,none,70,70,63,,1
female,group D,,,none,83,85,86,,1
male,group C,,,none,68,57,54,,0
female,group E,,,none,82,83,80,,1
female,group B,,,none,46,61,58,,0
male,group C,,,none,80,75,73,,1
female,group C,,,completed,57,69,77,,0
male,group B,,,none,74,69,69,,1
male,group B,,,none,53,50,49,,0
male,group B,,,none,76,74,76,,1
male,group A,,,none,70,73,70,,1
male,group C,,,none,55,54,52,,0
male,group E,,,none,56,46,43,,0
female,group C,,,none,35,47,41,,0
female,group C,,,none,87,92,81,,1
female,group E,,,none,80,82,85,,1
female,group D,,,completed,65,71,74,,1
male,group C,,,none,66,66,62,,1
female,group D,,,completed,67,71,76,,1
female,group B,,,none,70,71,71,,1
male,group E,,,none,89,88,86,,1
male,group D,,,completed,99,85,88,,1
male,group B,,,none,74,83,72,,1
male,group D,,,none,58,52,51,,0
male,group D,,,none,70,66,59,,0
female,group E,,,none,80,79,71,,1
male,group D,,,none,90,87,86,,1
female,group B,,,completed,80,81,85,,1
female,group D,,,none,68,76,79,,1
female,group B,,,completed,69,78,75,,1
female,group D,,,none,32,35,37,,0
male,group D,,,completed,82,82,82,,1
female,group A,,,none,57,53,54,,0
female,group E,,,none,69,74,75,,
male,group D,,,completed,68,66,72,,
male,group C,,,completed,74,85,87,,
male,group E,,,none,89,85,78,,
male,group C,,,completed,46,46,48,,
male,group C,,,completed,76,82,77,,
male,group B,,,none,86,82,72,,
male,group D,,,none,69,73,67,,
female,group B,,,none,52,56,54,,
male,group C,,,none,63,71,65,,
male,group A,,,completed,96,82,90,,
male,group C,,,completed,80,76,68,,
female,group E,,,none,59,52,56,,
male,group D,,,completed,80,77,80,,
female,group E,,,completed,65,77,74,,
female,group E,,,completed,74,83,84,,
male,group D,,,none,90,93,84,,
female,group B,,,completed,69,72,72,,
male,group C,,,none,69,67,63,,
female,group C,,,none,62,64,61,,
female,group D,,,none,67,75,80,,
female,group E,,,completed,89,93,93,,
female,group C,,,none,79,86,78,,
male,group C,,,none,67,66,66,,
male,group D,,,completed,82,74,75,,
male,group C,,,completed,63,69,63,,
female,group D,,,none,71,83,80,,
female,group C,,,none,55,68,73,,
female,group B,,,none,61,74,71,,
female,group B,,,none,35,34,36,,
male,group C,,,none,75,77,66,,
female,group B,,,completed,73,91,88,,
female,group C,,,none,56,62,57,,
male,group D,,,none,80,70,73,,
male,group C,,,completed,83,81,78,,
female,group D,,,completed,64,82,80,,
female,group C,,,none,23,33,33,,
female,group D,,,completed,41,58,59,,
male,group E,,,completed,61,49,52,,
male,group B,,,none,63,46,46,,
male,group B,,,completed,84,91,89,,
